timeframe,datetime_raw_clock,datetime_utc_to_market,prev_datetime_raw_clock,minutes_since_prev,expected_minutes,open,prev_close,gap_points
D1,2024-02-14 00:00:00,2024-02-13 21:00:00,2024-02-09 00:00:00,7200.0,1440,129420.0,128060.0,1360.0
D1,2023-02-22 00:00:00,2023-02-21 21:00:00,2023-02-17 00:00:00,7200.0,1440,109885.0,110695.0,-810.0
D1,2024-01-02 00:00:00,2024-01-01 21:00:00,2023-12-28 00:00:00,7200.0,1440,135250.0,135850.0,-600.0
D1,2026-02-18 00:00:00,2026-02-17 21:00:00,2026-02-13 00:00:00,7200.0,1440,190460.0,186680.0,3780.0
D1,2025-03-05 00:00:00,2025-03-04 21:00:00,2025-02-28 00:00:00,7200.0,1440,125190.0,124850.0,340.0
D1,2025-04-22 00:00:00,2025-04-21 21:00:00,2025-04-17 00:00:00,7200.0,1440,132140.0,131875.0,265.0
D1,2023-12-26 00:00:00,2023-12-25 21:00:00,2023-12-22 00:00:00,5760.0,1440,134760.0,134495.0,265.0
D1,2023-04-10 00:00:00,2023-04-09 21:00:00,2023-04-06 00:00:00,5760.0,1440,101130.0,101330.0,-200.0
D1,2026-05-04 00:00:00,2026-05-03 21:00:00,2026-04-30 00:00:00,5760.0,1440,189490.0,189980.0,-490.0
D1,2026-04-06 00:00:00,2026-04-05 21:00:00,2026-04-02 00:00:00,5760.0,1440,189200.0,188660.0,540.0
D1,2024-04-01 00:00:00,2024-03-31 21:00:00,2024-03-28 00:00:00,5760.0,1440,128890.0,128740.0,150.0
D1,2023-05-02 00:00:00,2023-05-01 21:00:00,2023-04-28 00:00:00,5760.0,1440,105175.0,105250.0,-75.0
D1,2023-01-02 00:00:00,2023-01-01 21:00:00,2022-12-29 00:00:00,5760.0,1440,110400.0,111035.0,-635.0
D1,2023-04-24 00:00:00,2023-04-23 21:00:00,2023-04-20 00:00:00,5760.0,1440,105650.0,106140.0,-490.0
D1,2024-11-18 00:00:00,2024-11-17 21:00:00,2024-11-14 00:00:00,5760.0,1440,128850.0,128620.0,230.0
D1,2022-09-05 00:00:00,2022-09-04 21:00:00,2022-09-02 00:00:00,4320.0,1440,112215.0,112350.0,-135.0
D1,2022-12-19 00:00:00,2022-12-18 21:00:00,2022-12-16 00:00:00,4320.0,1440,105000.0,104710.0,290.0
D1,2022-07-18 00:00:00,2022-07-17 21:00:00,2022-07-15 00:00:00,4320.0,1440,98650.0,97565.0,1085.0
D1,2022-08-08 00:00:00,2022-08-07 21:00:00,2022-08-05 00:00:00,4320.0,1440,107250.0,106710.0,540.0
D1,2022-08-15 00:00:00,2022-08-14 21:00:00,2022-08-12 00:00:00,4320.0,1440,111500.0,112710.0,-1210.0
D1,2022-08-22 00:00:00,2022-08-21 21:00:00,2022-08-19 00:00:00,4320.0,1440,112150.0,112850.0,-700.0
D1,2022-08-01 00:00:00,2022-07-31 21:00:00,2022-07-29 00:00:00,4320.0,1440,103825.0,103560.0,265.0
D1,2023-01-09 00:00:00,2023-01-08 21:00:00,2023-01-06 00:00:00,4320.0,1440,109335.0,110600.0,-1265.0
D1,2022-12-26 00:00:00,2022-12-25 21:00:00,2022-12-23 00:00:00,4320.0,1440,111240.0,111430.0,-190.0
D1,2022-10-31 00:00:00,2022-10-30 21:00:00,2022-10-28 00:00:00,4320.0,1440,113000.0,117045.0,-4045.0
H4,2026-02-18 12:00:00,2026-02-18 09:00:00,2026-02-13 16:00:00,6960.0,240,190460.0,186680.0,3780.0
H4,2025-03-05 12:00:00,2025-03-05 09:00:00,2025-02-28 16:00:00,6960.0,240,125190.0,124850.0,340.0
H4,2024-02-14 12:00:00,2024-02-14 09:00:00,2024-02-09 16:00:00,6960.0,240,129420.0,128060.0,1360.0
H4,2023-02-22 12:00:00,2023-02-22 09:00:00,2023-02-17 16:00:00,6960.0,240,109885.0,110695.0,-810.0
H4,2025-04-22 08:00:00,2025-04-22 05:00:00,2025-04-17 16:00:00,6720.0,240,132140.0,131875.0,265.0
H4,2024-01-02 08:00:00,2024-01-02 05:00:00,2023-12-28 16:00:00,6720.0,240,135250.0,135850.0,-600.0
H4,2023-04-24 08:00:00,2023-04-24 05:00:00,2023-04-20 16:00:00,5280.0,240,105650.0,106140.0,-490.0
H4,2026-04-06 08:00:00,2026-04-06 05:00:00,2026-04-02 16:00:00,5280.0,240,189200.0,188660.0,540.0
H4,2024-11-18 08:00:00,2024-11-18 05:00:00,2024-11-14 16:00:00,5280.0,240,128850.0,128620.0,230.0
H4,2023-12-26 08:00:00,2023-12-26 05:00:00,2023-12-22 16:00:00,5280.0,240,134760.0,134495.0,265.0
H4,2026-05-04 08:00:00,2026-05-04 05:00:00,2026-04-30 16:00:00,5280.0,240,189490.0,189980.0,-490.0
H4,2024-04-01 08:00:00,2024-04-01 05:00:00,2024-03-28 16:00:00,5280.0,240,128890.0,128740.0,150.0
H4,2023-05-02 08:00:00,2023-05-02 05:00:00,2023-04-28 16:00:00,5280.0,240,105175.0,105250.0,-75.0
H4,2023-01-02 08:00:00,2023-01-02 05:00:00,2022-12-29 16:00:00,5280.0,240,110400.0,111035.0,-635.0
H4,2023-04-10 08:00:00,2023-04-10 05:00:00,2023-04-06 16:00:00,5280.0,240,101130.0,101330.0,-200.0
H4,2024-04-15 08:00:00,2024-04-15 05:00:00,2024-04-12 16:00:00,3840.0,240,126565.0,125970.0,595.0
H4,2023-07-10 08:00:00,2023-07-10 05:00:00,2023-07-07 16:00:00,3840.0,240,119930.0,120120.0,-190.0
H4,2023-09-25 08:00:00,2023-09-25 05:00:00,2023-09-22 16:00:00,3840.0,240,116400.0,117110.0,-710.0
H4,2023-11-27 08:00:00,2023-11-27 05:00:00,2023-11-24 16:00:00,3840.0,240,126095.0,126340.0,-245.0
H4,2022-11-28 08:00:00,2022-11-28 05:00:00,2022-11-25 16:00:00,3840.0,240,108550.0,109320.0,-770.0
H4,2022-06-13 08:00:00,2022-06-13 05:00:00,2022-06-10 16:00:00,3840.0,240,103600.0,105450.0,-1850.0
H4,2023-04-03 08:00:00,2023-04-03 05:00:00,2023-03-31 16:00:00,3840.0,240,102240.0,101895.0,345.0
H4,2026-05-11 08:00:00,2026-05-11 05:00:00,2026-05-08 16:00:00,3840.0,240,187400.0,187190.0,210.0
H4,2022-06-20 08:00:00,2022-06-20 05:00:00,2022-06-17 16:00:00,3840.0,240,101455.0,101335.0,120.0
H4,2024-03-11 08:00:00,2024-03-11 05:00:00,2024-03-08 16:00:00,3840.0,240,127695.0,128305.0,-610.0
H1,2024-02-14 13:00:00,2024-02-14 10:00:00,2024-02-09 18:00:00,6900.0,60,129420.0,128060.0,1360.0
H1,2026-02-18 13:00:00,2026-02-18 10:00:00,2026-02-13 18:00:00,6900.0,60,190460.0,186680.0,3780.0
H1,2025-03-05 13:00:00,2025-03-05 10:00:00,2025-02-28 18:00:00,6900.0,60,125190.0,124850.0,340.0
H1,2023-02-22 13:00:00,2023-02-22 10:00:00,2023-02-17 18:00:00,6900.0,60,109885.0,110695.0,-810.0
H1,2024-01-02 09:00:00,2024-01-02 06:00:00,2023-12-28 18:00:00,6660.0,60,135250.0,135850.0,-600.0
H1,2025-04-22 09:00:00,2025-04-22 06:00:00,2025-04-17 18:00:00,6660.0,60,132140.0,131875.0,265.0
H1,2023-04-24 09:00:00,2023-04-24 06:00:00,2023-04-20 17:00:00,5280.0,60,105650.0,106140.0,-490.0
H1,2023-05-02 09:00:00,2023-05-02 06:00:00,2023-04-28 17:00:00,5280.0,60,105175.0,105250.0,-75.0
H1,2023-04-10 09:00:00,2023-04-10 06:00:00,2023-04-06 17:00:00,5280.0,60,101130.0,101330.0,-200.0
H1,2023-12-26 09:00:00,2023-12-26 06:00:00,2023-12-22 18:00:00,5220.0,60,134760.0,134495.0,265.0
H1,2026-04-06 09:00:00,2026-04-06 06:00:00,2026-04-02 18:00:00,5220.0,60,189200.0,188660.0,540.0
H1,2024-04-01 09:00:00,2024-04-01 06:00:00,2024-03-28 18:00:00,5220.0,60,128890.0,128740.0,150.0
H1,2024-11-18 09:00:00,2024-11-18 06:00:00,2024-11-14 18:00:00,5220.0,60,128850.0,128620.0,230.0
H1,2023-01-02 09:00:00,2023-01-02 06:00:00,2022-12-29 18:00:00,5220.0,60,110400.0,111035.0,-635.0
H1,2026-05-04 09:00:00,2026-05-04 06:00:00,2026-04-30 18:00:00,5220.0,60,189490.0,189980.0,-490.0
H1,2022-10-31 09:00:00,2022-10-31 06:00:00,2022-10-28 17:00:00,3840.0,60,113000.0,117045.0,-4045.0
H1,2022-09-19 09:00:00,2022-09-19 06:00:00,2022-09-16 17:00:00,3840.0,60,109165.0,110400.0,-1235.0
H1,2022-11-07 09:00:00,2022-11-07 06:00:00,2022-11-04 17:00:00,3840.0,60,120045.0,119270.0,775.0
H1,2022-10-10 09:00:00,2022-10-10 06:00:00,2022-10-07 17:00:00,3840.0,60,116960.0,117250.0,-290.0
H1,2022-10-03 09:00:00,2022-10-03 06:00:00,2022-09-30 17:00:00,3840.0,60,114355.0,110900.0,3455.0
H1,2022-09-26 09:00:00,2022-09-26 06:00:00,2022-09-23 17:00:00,3840.0,60,111525.0,112240.0,-715.0
H1,2022-08-22 09:00:00,2022-08-22 06:00:00,2022-08-19 17:00:00,3840.0,60,112150.0,112850.0,-700.0
H1,2022-08-01 09:00:00,2022-08-01 06:00:00,2022-07-29 17:00:00,3840.0,60,103825.0,103560.0,265.0
H1,2022-09-05 09:00:00,2022-09-05 06:00:00,2022-09-02 17:00:00,3840.0,60,112215.0,112350.0,-135.0
H1,2022-08-29 09:00:00,2022-08-29 06:00:00,2022-08-26 17:00:00,3840.0,60,113420.0,114145.0,-725.0
M30,2024-02-14 13:00:00,2024-02-14 10:00:00,2024-02-09 18:00:00,6900.0,30,129420.0,128060.0,1360.0
M30,2026-02-18 13:00:00,2026-02-18 10:00:00,2026-02-13 18:00:00,6900.0,30,190460.0,186680.0,3780.0
M30,2025-03-05 13:00:00,2025-03-05 10:00:00,2025-02-28 18:00:00,6900.0,30,125190.0,124850.0,340.0
M30,2023-02-22 13:00:00,2023-02-22 10:00:00,2023-02-17 18:00:00,6900.0,30,109885.0,110695.0,-810.0
M30,2024-01-02 09:00:00,2024-01-02 06:00:00,2023-12-28 18:00:00,6660.0,30,135250.0,135850.0,-600.0
M30,2025-04-22 09:00:00,2025-04-22 06:00:00,2025-04-17 18:00:00,6660.0,30,132140.0,131875.0,265.0
M30,2023-05-02 09:00:00,2023-05-02 06:00:00,2023-04-28 17:30:00,5250.0,30,105175.0,105250.0,-75.0
M30,2023-04-24 09:00:00,2023-04-24 06:00:00,2023-04-20 17:30:00,5250.0,30,105650.0,106140.0,-490.0
M30,2023-04-10 09:00:00,2023-04-10 06:00:00,2023-04-06 17:30:00,5250.0,30,101130.0,101330.0,-200.0
M30,2023-01-02 09:00:00,2023-01-02 06:00:00,2022-12-29 18:00:00,5220.0,30,110400.0,111035.0,-635.0
M30,2023-12-26 09:00:00,2023-12-26 06:00:00,2023-12-22 18:00:00,5220.0,30,134760.0,134495.0,265.0
M30,2024-11-18 09:00:00,2024-11-18 06:00:00,2024-11-14 18:00:00,5220.0,30,128850.0,128620.0,230.0
M30,2024-04-01 09:00:00,2024-04-01 06:00:00,2024-03-28 18:00:00,5220.0,30,128890.0,128740.0,150.0
M30,2026-04-06 09:00:00,2026-04-06 06:00:00,2026-04-02 18:00:00,5220.0,30,189200.0,188660.0,540.0
M30,2026-05-04 09:00:00,2026-05-04 06:00:00,2026-04-30 18:00:00,5220.0,30,189490.0,189980.0,-490.0
M30,2022-06-13 09:00:00,2022-06-13 06:00:00,2022-06-10 17:30:00,3810.0,30,103600.0,105450.0,-1850.0
M30,2022-08-08 09:00:00,2022-08-08 06:00:00,2022-08-05 17:30:00,3810.0,30,107250.0,106710.0,540.0
M30,2022-08-15 09:00:00,2022-08-15 06:00:00,2022-08-12 17:30:00,3810.0,30,111500.0,112710.0,-1210.0
M30,2023-10-23 09:00:00,2023-10-23 06:00:00,2023-10-20 17:30:00,3810.0,30,114290.0,114770.0,-480.0
M30,2023-10-16 09:00:00,2023-10-16 06:00:00,2023-10-13 17:30:00,3810.0,30,116400.0,115875.0,525.0
M30,2022-07-11 09:00:00,2022-07-11 06:00:00,2022-07-08 17:30:00,3810.0,30,100530.0,101415.0,-885.0
M30,2023-09-18 09:00:00,2023-09-18 06:00:00,2023-09-15 17:30:00,3810.0,30,119750.0,119985.0,-235.0
M30,2023-08-07 09:00:00,2023-08-07 06:00:00,2023-08-04 17:30:00,3810.0,30,120160.0,119880.0,280.0
M30,2023-08-14 09:00:00,2023-08-14 06:00:00,2023-08-11 17:30:00,3810.0,30,118170.0,118290.0,-120.0
M30,2023-08-21 09:00:00,2023-08-21 06:00:00,2023-08-18 17:30:00,3810.0,30,117845.0,117265.0,580.0
M15,2026-02-18 13:00:00,2026-02-18 10:00:00,2026-02-13 18:15:00,6885.0,15,190460.0,186680.0,3780.0
M15,2024-02-14 13:00:00,2024-02-14 10:00:00,2024-02-09 18:15:00,6885.0,15,129420.0,128060.0,1360.0
M15,2023-02-22 13:00:00,2023-02-22 10:00:00,2023-02-17 18:15:00,6885.0,15,109885.0,110695.0,-810.0
M15,2025-03-05 13:00:00,2025-03-05 10:00:00,2025-02-28 18:15:00,6885.0,15,125190.0,124850.0,340.0
M15,2024-01-02 09:00:00,2024-01-02 06:00:00,2023-12-28 18:15:00,6645.0,15,135250.0,135850.0,-600.0
M15,2025-04-22 09:00:00,2025-04-22 06:00:00,2025-04-17 18:15:00,6645.0,15,132140.0,131875.0,265.0
M15,2023-04-10 09:00:00,2023-04-10 06:00:00,2023-04-06 17:45:00,5235.0,15,101130.0,101330.0,-200.0
M15,2023-04-24 09:00:00,2023-04-24 06:00:00,2023-04-20 17:45:00,5235.0,15,105650.0,106140.0,-490.0
M15,2023-05-02 09:00:00,2023-05-02 06:00:00,2023-04-28 17:45:00,5235.0,15,105175.0,105250.0,-75.0
M15,2024-04-01 09:00:00,2024-04-01 06:00:00,2024-03-28 18:15:00,5205.0,15,128890.0,128740.0,150.0
M15,2024-11-18 09:00:00,2024-11-18 06:00:00,2024-11-14 18:15:00,5205.0,15,128850.0,128620.0,230.0
M15,2026-05-04 09:00:00,2026-05-04 06:00:00,2026-04-30 18:15:00,5205.0,15,189490.0,189980.0,-490.0
M15,2026-04-06 09:00:00,2026-04-06 06:00:00,2026-04-02 18:15:00,5205.0,15,189200.0,188660.0,540.0
M15,2023-12-26 09:00:00,2023-12-26 06:00:00,2023-12-22 18:15:00,5205.0,15,134760.0,134495.0,265.0
M15,2023-01-02 09:00:00,2023-01-02 06:00:00,2022-12-29 18:15:00,5205.0,15,110400.0,111035.0,-635.0
M15,2022-07-18 09:00:00,2022-07-18 06:00:00,2022-07-15 17:45:00,3795.0,15,98650.0,97565.0,1085.0
M15,2022-07-11 09:00:00,2022-07-11 06:00:00,2022-07-08 17:45:00,3795.0,15,100530.0,101415.0,-885.0
M15,2022-07-04 09:00:00,2022-07-04 06:00:00,2022-07-01 17:45:00,3795.0,15,100190.0,100710.0,-520.0
M15,2023-10-23 09:00:00,2023-10-23 06:00:00,2023-10-20 17:45:00,3795.0,15,114290.0,114770.0,-480.0
M15,2023-10-30 09:00:00,2023-10-30 06:00:00,2023-10-27 17:45:00,3795.0,15,115550.0,114960.0,590.0
M15,2023-11-06 09:00:00,2023-11-06 06:00:00,2023-11-03 17:45:00,3795.0,15,119650.0,119785.0,-135.0
M15,2023-09-25 09:00:00,2023-09-25 06:00:00,2023-09-22 17:45:00,3795.0,15,116400.0,117110.0,-710.0
M15,2023-09-18 09:00:00,2023-09-18 06:00:00,2023-09-15 17:45:00,3795.0,15,119750.0,119985.0,-235.0
M15,2023-09-11 09:00:00,2023-09-11 06:00:00,2023-09-08 17:45:00,3795.0,15,117415.0,116600.0,815.0
M15,2023-09-04 09:00:00,2023-09-04 06:00:00,2023-09-01 17:45:00,3795.0,15,119300.0,119065.0,235.0
M5,2026-02-18 13:00:00,2026-02-18 10:00:00,2026-02-13 18:20:00,6880.0,5,190460.0,186680.0,3780.0
M5,2023-02-22 13:00:00,2023-02-22 10:00:00,2023-02-17 18:20:00,6880.0,5,109885.0,110695.0,-810.0
M5,2025-03-05 13:00:00,2025-03-05 10:00:00,2025-02-28 18:20:00,6880.0,5,125190.0,124850.0,340.0
M5,2024-02-14 13:00:00,2024-02-14 10:00:00,2024-02-09 18:20:00,6880.0,5,129420.0,128060.0,1360.0
M5,2024-01-02 09:00:00,2024-01-02 06:00:00,2023-12-28 18:20:00,6640.0,5,135250.0,135850.0,-600.0
M5,2025-04-22 09:00:00,2025-04-22 06:00:00,2025-04-17 18:20:00,6640.0,5,132140.0,131875.0,265.0
M5,2023-04-24 09:00:00,2023-04-24 06:00:00,2023-04-20 17:50:00,5230.0,5,105650.0,106140.0,-490.0
M5,2023-05-02 09:00:00,2023-05-02 06:00:00,2023-04-28 17:50:00,5230.0,5,105175.0,105250.0,-75.0
M5,2023-04-10 09:00:00,2023-04-10 06:00:00,2023-04-06 17:50:00,5230.0,5,101130.0,101330.0,-200.0
M5,2026-05-04 09:00:00,2026-05-04 06:00:00,2026-04-30 18:20:00,5200.0,5,189490.0,189980.0,-490.0
M5,2024-04-01 09:00:00,2024-04-01 06:00:00,2024-03-28 18:20:00,5200.0,5,128890.0,128740.0,150.0
M5,2023-12-26 09:00:00,2023-12-26 06:00:00,2023-12-22 18:20:00,5200.0,5,134760.0,134495.0,265.0
M5,2026-04-06 09:00:00,2026-04-06 06:00:00,2026-04-02 18:20:00,5200.0,5,189200.0,188660.0,540.0
M5,2023-01-02 09:00:00,2023-01-02 06:00:00,2022-12-29 18:20:00,5200.0,5,110400.0,111035.0,-635.0
M5,2024-11-18 09:00:00,2024-11-18 06:00:00,2024-11-14 18:20:00,5200.0,5,128850.0,128620.0,230.0
M5,2022-10-31 09:00:00,2022-10-31 06:00:00,2022-10-28 17:50:00,3790.0,5,113000.0,117045.0,-4045.0
M5,2023-04-03 09:00:00,2023-04-03 06:00:00,2023-03-31 17:50:00,3790.0,5,102240.0,101895.0,345.0
M5,2023-08-14 09:00:00,2023-08-14 06:00:00,2023-08-11 17:50:00,3790.0,5,118170.0,118290.0,-120.0
M5,2023-08-07 09:00:00,2023-08-07 06:00:00,2023-08-04 17:50:00,3790.0,5,120160.0,119880.0,280.0
M5,2023-09-18 09:00:00,2023-09-18 06:00:00,2023-09-15 17:50:00,3790.0,5,119750.0,119985.0,-235.0
M5,2023-05-08 09:00:00,2023-05-08 06:00:00,2023-05-05 17:50:00,3790.0,5,107100.0,106580.0,520.0
M5,2023-06-19 09:00:00,2023-06-19 06:00:00,2023-06-16 17:50:00,3790.0,5,121040.0,121075.0,-35.0
M5,2023-05-22 09:00:00,2023-05-22 06:00:00,2023-05-19 17:50:00,3790.0,5,111250.0,111450.0,-200.0
M5,2023-05-15 09:00:00,2023-05-15 06:00:00,2023-05-12 17:50:00,3790.0,5,110100.0,109650.0,450.0
M5,2023-03-27 09:00:00,2023-03-27 06:00:00,2023-03-24 17:50:00,3790.0,5,99955.0,99540.0,415.0
